merchant,description,amount,timestamp,label
Zomato,Zomato POS 205,4613.64,2025-09-04T02:28:40.536751,Food
Walmart,Walmart PAYMENT,2982.75,2025-07-07T21:13:43.536751,Groceries
Starbucks,Starbucks POS 516,1353.45,2025-10-12T06:07:36.536751,Food
Starbucks,Starbucks online order 718,3128.32,2025-07-20T09:03:08.536751,Food
Dominos,Dominos PAYMENT,4995.91,2024-12-10T01:22:11.536751,Food
Paytm Mall,Paytm Mall.com purchase,587.7,2025-06-01T20:00:54.536751,Shopping
Paytm Mall,Paytm Mall - Online shopping Store #7482,1888.56,2024-11-27T16:42:38.536751,Shopping
Flipkart,Flipkart POS 380,4131.82,2025-06-03T00:08:17.536751,Shopping
Flipkart,Flipkart.com purchase,329.5,2025-01-19T15:43:57.536751,Shopping
Netflix,Netflix - Streaming subscription Store #4386,4193.41,2025-08-12T02:56:31.536751,Entertainment
Dominos,Dominos - Pizza restaurant Store #6115,4132.55,2025-09-07T13:49:43.536751,Food
Paytm Mall,Paytm Mall online order 650,1600.02,2025-10-12T18:28:01.536751,Shopping
HP Petrol,HP Petrol Fuel station,3971.42,2025-06-26T16:43:33.536751,Fuel
Shell,Shell PAYMENT,3396.85,2025-10-16T11:51:00.536751,Fuel
Walmart,Walmart POS 710,560.53,2025-08-01T15:11:39.536751,Groceries
Paytm Mall,Paytm Mall - Online shopping Store #4388,4423.21,2025-01-29T18:49:09.536751,Shopping
Walmart,Walmart - Grocery store Store #2551,944.61,2025-04-05T03:52:14.536751,Groceries
Walmart,Walmart POS 142,3348.4,2025-01-12T21:15:36.536751,Groceries
Dominos,Dominos POS 153,3848.61,2024-12-20T13:53:16.536751,Food
Shell,Shell POS 898,3366.68,2024-12-05T03:41:12.536751,Fuel
Starbucks,Starbucks - Coffee and snacks Store #7343,1553.51,2025-04-07T01:39:20.536751,Food
Swiggy,Swiggy POS 785,1642.32,2025-01-14T09:35:08.536751,Food
Netflix,Netflix online order 210,1179.24,2025-06-19T20:54:30.536751,Entertainment
Amazon,Amazon PAYMENT,1076.04,2025-10-26T01:51:15.536751,Shopping
Swiggy,Swiggy Food delivery,1647.82,2024-11-29T13:08:38.536751,Food
Starbucks,Starbucks - Coffee and snacks Store #8996,3360.3,2025-06-21T01:32:33.536751,Food
Zomato,Zomato - Food delivery Store #4943,4333.0,2025-08-25T03:21:34.536751,Food
Netflix,Netflix - Streaming subscription Store #8695,4440.75,2025-08-01T19:14:43.536751,Entertainment
Walmart,Walmart - Grocery store Store #4602,1241.21,2024-12-25T00:59:42.536751,Groceries
HP Petrol,HP Petrol.com purchase,1193.05,2025-08-11T22:32:21.536751,Fuel
Amazon,Amazon online order 702,4731.56,2025-08-04T04:17:59.536751,Shopping
Flipkart,Flipkart online order 553,4482.63,2025-04-04T03:46:36.536751,Shopping
Walmart,Walmart - Grocery store Store #3782,3689.47,2025-08-27T17:53:16.536751,Groceries
Zomato,Zomato.com purchase,968.39,2025-04-28T00:56:52.536751,Food
Zomato,Zomato - Food delivery Store #5770,256.21,2025-03-10T05:21:33.536751,Food
Uber,Uber PAYMENT,1937.8,2025-05-11T17:40:46.536751,Travel
BigBasket,BigBasket POS 282,3728.48,2025-08-03T22:15:21.536751,Groceries
BigBasket,BigBasket - Grocery order Store #93,2389.64,2025-04-05T06:04:53.536751,Groceries
BigBasket,BigBasket - Grocery order Store #7176,2702.32,2025-05-10T00:16:45.536751,Groceries
BigBasket,BigBasket.com purchase,1958.93,2025-07-01T05:04:14.536751,Groceries
Zomato,Zomato online order 502,936.15,2025-01-04T23:23:57.536751,Food
Walmart,Walmart Grocery store,4295.66,2025-02-09T21:57:15.536751,Groceries
Zomato,Zomato - Food delivery Store #4798,2956.93,2025-07-02T23:30:00.536751,Food
Paytm Mall,Paytm Mall online order 506,3426.77,2025-11-14T15:15:23.536751,Shopping
Flipkart,Flipkart POS 407,193.98,2025-02-25T20:35:08.536751,Shopping
Starbucks,Starbucks - Coffee and snacks Store #1003,2904.54,2025-09-11T09:16:15.536751,Food
Starbucks,Starbucks POS 180,47.57,2025-03-31T17:12:08.536751,Food
BigBasket,BigBasket - Grocery order Store #815,3608.47,2025-02-10T22:57:12.536751,Groceries
Swiggy,Swiggy POS 637,4184.54,2025-07-14T07:52:20.536751,Food
Shell,Shell Fuel station,374.83,2025-02-14T02:12:29.536751,Fuel
Amazon,Amazon - Online shopping Store #4610,1795.13,2025-09-28T03:39:45.536751,Shopping
BigBasket,BigBasket POS 788,3624.96,2025-02-07T19:42:22.536751,Groceries
Amazon,Amazon online order 196,1314.91,2025-09-13T21:19:07.536751,Shopping
Zomato,Zomato.com purchase,186.07,2025-10-02T13:47:24.536751,Food
HP Petrol,HP Petrol PAYMENT,68.81,2024-12-07T13:31:05.536751,Fuel
Flipkart,Flipkart PAYMENT,472.28,2024-12-10T19:30:03.536751,Shopping
Uber,Uber Cab ride,940.8,2025-06-03T13:38:06.536751,Travel
Flipkart,Flipkart POS 123,535.55,2025-03-03T17:17:51.536751,Shopping
Starbucks,Starbucks Coffee and snacks,1688.44,2025-11-14T15:58:59.536751,Food
Uber,Uber PAYMENT,1608.58,2024-11-30T19:59:59.536751,Travel
Netflix,Netflix Streaming subscription,1277.95,2025-05-09T12:11:36.536751,Entertainment
Walmart,Walmart online order 793,3610.98,2025-07-21T13:53:40.536751,Groceries
HP Petrol,HP Petrol PAYMENT,3048.04,2025-08-05T10:23:07.536751,Fuel
Swiggy,Swiggy online order 164,2299.84,2025-09-03T02:39:56.536751,Food
Paytm Mall,Paytm Mall online order 985,918.95,2025-05-15T08:30:38.536751,Shopping
Starbucks,Starbucks PAYMENT,4451.7,2025-06-21T21:38:07.536751,Food
BigBasket,BigBasket online order 870,4000.91,2025-08-06T08:53:33.536751,Groceries
Uber,Uber.com purchase,725.08,2025-09-27T20:49:29.536751,Travel
Dominos,Dominos - Pizza restaurant Store #3458,409.97,2025-10-17T04:51:42.536751,Food
Walmart,Walmart online order 158,1669.93,2025-07-16T23:34:18.536751,Groceries
Netflix,Netflix - Streaming subscription Store #733,3283.55,2025-01-27T21:52:19.536751,Entertainment
BigBasket,BigBasket Grocery order,4529.51,2025-08-29T19:19:12.536751,Groceries
Shell,Shell - Fuel station Store #6159,906.6,2024-12-23T20:27:04.536751,Fuel
Walmart,Walmart.com purchase,4943.94,2025-03-02T19:00:10.536751,Groceries
Flipkart,Flipkart.com purchase,4843.68,2025-03-13T12:07:13.536751,Shopping
Paytm Mall,Paytm Mall.com purchase,3910.46,2025-09-08T09:39:29.536751,Shopping
Dominos,Dominos online order 53,4689.57,2025-07-14T14:27:29.536751,Food
Swiggy,Swiggy Food delivery,1026.35,2025-08-20T21:31:36.536751,Food
BigBasket,BigBasket PAYMENT,4133.29,2025-07-21T01:16:01.536751,Groceries
Paytm Mall,Paytm Mall Online shopping,2837.15,2025-08-26T11:25:15.536751,Shopping
Starbucks,Starbucks - Coffee and snacks Store #2448,2392.52,2025-08-03T05:56:30.536751,Food
HP Petrol,HP Petrol - Fuel station Store #8042,4203.82,2025-07-21T13:17:34.536751,Fuel
Flipkart,Flipkart - Online shopping Store #4251,3431.93,2025-11-06T01:24:05.536751,Shopping
Swiggy,Swiggy.com purchase,222.94,2024-12-06T05:56:05.536751,Food
Amazon,Amazon POS 641,1939.91,2025-06-01T23:18:40.536751,Shopping
Dominos,Dominos PAYMENT,3976.11,2025-04-04T08:54:54.536751,Food
Starbucks,Starbucks Coffee and snacks,661.05,2025-11-04T11:50:17.536751,Food
Shell,Shell.com purchase,658.76,2025-02-10T20:41:25.536751,Fuel
Dominos,Dominos Pizza restaurant,2638.83,2025-05-11T23:09:17.536751,Food
